,score,O080,R101,R105,R106
2022-02-07,0.45896502018720825,0.712094093582204,0.6999031945788965,0.08414376321353066,0.33971902937420184
2022-02-08,0.46532375811984095,0.7313394683026585,0.7010159651669086,0.08241758241758242,0.3465220165922144
2022-02-09,0.47042506207358104,0.7462305136723741,0.6987427466150871,0.08787494719053654,0.3488520408163265
2022-02-10,0.4722079905056215,0.7539601430761369,0.6998550024166263,0.08192567567567567,0.35309114085404714
2022-02-11,0.46781397141801784,0.746360153256705,0.6903381642512078,0.07978049810046434,0.3547770700636943
2022-02-12,0.467347358137871,0.7533197139938713,0.6832448092708836,0.07763713080168777,0.35518777848504135
2022-02-13,0.47015589990842394,0.7607863160582078,0.6805019305019304,0.08055672711935892,0.3587786259541985
2022-02-14,0.4719977767530391,0.7697805002552323,0.6753497346840328,0.08558178752107926,0.3572790845518118
2022-02-15,0.4742651965115856,0.776473590201582,0.671648987463838,0.08807416772018542,0.36086404066073696
2022-02-16,0.47752063761409935,0.772704081632653,0.6703614457831325,0.10193765796124685,0.3650793650793651
2022-02-17,0.4738743937395151,0.7541443509308849,0.6743737957610789,0.09642105263157895,0.37055837563451777
2022-02-18,0.4742658242062531,0.7531871494135645,0.6822339913336544,0.09385521885521886,0.3677869372225745
2022-02-19,0.4777657828225177,0.7443283201631404,0.6862367661212705,0.11611274716028608,0.3643852978453739
2022-02-20,0.4868822976225716,0.7650356778797146,0.6806156806156807,0.13708999158957108,0.36478784040531986
2022-02-21,0.49416165458035904,0.8015286624203821,0.6764423076923076,0.12652374947456915,0.3721518987341772
2022-02-22,0.4921070708240559,0.7954661232806928,0.6703507928880346,0.12436974789915967,0.37824161922833655
2022-02-23,0.4970252584748587,0.803921568627451,0.6671469740634006,0.13523729525409492,0.38179519595448796
2022-02-24,0.49646231581714884,0.8217922606924644,0.6653864618338934,0.12090680100755667,0.377763739734681
2022-02-25,0.4890366801967146,0.8096207686434207,0.6540307101727447,0.11875786823331934,0.3737373737373737
2022-02-26,0.48826416183016697,0.7913486005089059,0.6556354916067146,0.125,0.38107255520504735
2022-02-27,0.4835018993171518,0.7527346731111677,0.6673058485139022,0.12872117400419286,0.38524590163934425
2022-02-28,0.4882896867468368,0.767293997965412,0.6650694777192142,0.1357921207041073,0.3850031505986138
2022-03-01,0.4797928860746984,0.7220950928044749,0.657088122605364,0.1495601173020528,0.3904282115869018
2022-03-02,0.4846608306917707,0.7440264361972547,0.6519865964576352,0.1423785594639866,0.4002517306482064
2022-03-03,0.48511721244602724,0.7479034307496824,0.6435406698564594,0.14399330263708665,0.4050314465408805
2022-03-04,0.48307117529025656,0.745680894308943,0.6322333811573411,0.1414225941422594,0.4129478315524827
2022-03-05,0.4800982743303339,0.7470154940309881,0.6281070745697896,0.13132580510246758,0.4139447236180904
2022-03-06,0.47927881397980576,0.7569832402234637,0.6387959866220736,0.10702341137123746,0.4143126177024482
2022-03-07,0.47805976355298396,0.7616146230007617,0.6341929321872015,0.10614291684078563,0.410288582183187
2022-03-08,0.47490777026336184,0.7454314720812183,0.633890214797136,0.10651629072681704,0.4137931034482759
2022-03-09,0.47850685633740986,0.7688403958386196,0.6230916030534351,0.1035490605427975,0.418546365914787
2022-03-10,0.476384503764081,0.7650938609842719,0.6146876490224129,0.10058430717863105,0.42517219787100813
2022-03-11,0.4989846086663028,0.8341364443317272,0.6248808388941849,0.10888610763454318,0.428035043804756
2022-03-12,0.4963694838862958,0.824290060851927,0.6345878989995235,0.10008340283569642,0.42651657285803624
2022-03-13,0.4984927387994062,0.8048162230671736,0.6461904761904762,0.11421425593997499,0.42874999999999996
2022-03-14,0.5009125548245078,0.8066396350734921,0.6520704426463588,0.11583333333333333,0.4291068082448469
2022-03-15,0.5006909199779644,0.7973144160121611,0.6493815413891532,0.1153685964181591,0.4406991260923845
2022-03-16,0.5085014935991825,0.8221884498480243,0.6552543984783643,0.10241465445462115,0.4541484716157205
2022-03-17,0.511494561774597,0.8310964801215498,0.6563688212927756,0.09404910528506034,0.46446384039900246
2022-03-18,0.5087626866824958,0.8187341772151899,0.66270783847981,0.0894342762063228,0.4641744548286605
2022-03-19,0.5104529040992152,0.8129587446216148,0.6614434947768282,0.0972972972972973,0.4701120797011208
2022-03-20,0.5123151076243756,0.7887145748987854,0.6540104413858567,0.1230257689110557,0.4835096453018046
2022-03-21,0.5120098278163858,0.7796610169491526,0.6570208728652751,0.11882010801828001,0.4925373134328358
2022-03-22,0.5212123173214978,0.8161355589276682,0.6600284495021337,0.10215946843853821,0.5065257924176507
2022-03-23,0.5319740953315961,0.8219974715549937,0.6672985781990521,0.11996679119966791,0.5186335403726707
2022-03-24,0.5379622972272398,0.8311425682507583,0.6684036001894836,0.12157676348547718,0.5307262569832403
2022-03-25,0.541182533661642,0.8344705585039172,0.6557765151515151,0.12857735379510576,0.5459057071960298
2022-03-26,0.5419719793863143,0.8163213744315311,0.6526265972550875,0.14469320066334992,0.5542467451952883
2022-03-27,0.5465407503814539,0.8345541803485729,0.6471144749290445,0.13510153336096145,0.5693928128872368
2022-03-28,0.5485901274148676,0.8383838383838383,0.6364066193853428,0.13628831814415907,0.58328173374613
2022-03-29,0.545979262594362,0.8353951022469074,0.6205103969754253,0.13333333333333333,0.5946782178217822
2022-03-30,0.5524875965503587,0.8508329126703685,0.6136041568256967,0.13079470198675497,0.6147186147186148
2022-03-31,0.5558731020063066,0.843805198082261,0.6185080264400378,0.13818783616052957,0.622991347342398
2022-04-01,0.5594898192426487,0.8451059535822402,0.6252949504483247,0.14433416046319272,0.6232242124768376
2022-04-02,0.5628025119175701,0.8426229508196721,0.6264150943396227,0.15254237288135594,0.6296296296296297
2022-04-03,0.5671956733551817,0.846444780635401,0.6265912305516266,0.1615702479338843,0.6341764342998149
2022-04-04,0.5695759704921998,0.8472397277539703,0.6182846371347785,0.16604708798017348,0.6467324290998767
2022-04-05,0.5720642442085431,0.8424899193548387,0.6029203956665097,0.19281585466556564,0.6500308071472581
2022-04-06,0.5705267147916042,0.8321995464852607,0.6040489642184557,0.1931489888567891,0.6527093596059113
2022-04-07,0.5736557187338803,0.847103274559194,0.5990588235294118,0.1943069306930693,0.6541538461538461
2022-04-08,0.5643806221821079,0.8388315285822211,0.5950141110065852,0.17484536082474228,0.6488314883148831
2022-04-09,0.5618908330655019,0.8313192346424975,0.6017865538316878,0.18507831821929102,0.6293792255685311
