,score,N005,M018,M096t,M068
2021-11-22,0.6569206901471047,0.9041394335511983,0.9864091559370529,0.41007194244604317,0.3270622286541245
2021-11-23,0.6894072888556864,0.6103047895500726,0.8884917798427449,0.6822429906542056,0.5765895953757225
2021-11-24,0.6707937175700391,0.7621464829586657,0.885,0.5107758620689655,0.5252525252525253
2021-11-25,0.6136455049062981,0.7355072463768115,0.7266238401142042,0.6956209619526202,0.2968299711815562
2021-11-26,0.647410707045808,0.9275887038377987,0.9978601997146933,0.44261119081779055,0.22158273381294968
2021-11-27,0.7467791489181035,0.8039073806078147,0.9429793300071276,0.8666666666666667,0.37356321839080464
2021-11-28,0.6256673030229809,0.6941431670281996,0.7386039886039886,0.7643266475644699,0.3055954088952654
2021-11-29,0.5134276221812739,0.6076589595375723,0.6256227758007118,0.6814602720114531,0.13896848137535822
2021-11-30,0.6436005825989264,0.8180505415162455,0.5775248933143671,0.5693848354792561,0.6094420600858369
2021-12-01,0.5679246172185158,0.2561327561327561,0.5536602700781805,0.6676197283774125,0.7942857142857143
2021-12-02,0.5515969080688727,0.4297043979812545,0.5802556818181819,0.6957142857142857,0.5007132667617689
2021-12-03,0.8102844769304174,0.9005763688760807,0.7977288857345635,0.7123483226266952,0.8304843304843305
2021-12-04,0.736909368082135,0.986321094312455,0.6368794326241134,0.789586305278174,0.534850640113798
2021-12-05,0.7844996551202132,0.9748201438848921,0.6116229624379872,0.9180327868852459,0.6335227272727273
2021-12-06,0.8187480714123565,0.9590222861250899,0.5531161473087819,0.9373219373219374,0.825531914893617
2021-12-07,0.6640775972597434,0.9367816091954023,0.5456475583864119,0.7886120996441282,0.3852691218130312
2021-12-08,0.7249215587778517,0.8198133524766691,0.5523338048090523,0.7425320056899004,0.785007072135785
2021-12-09,0.5860452189702074,0.6865136298421808,0.7067137809187279,0.7277896233120114,0.2231638418079096
2021-12-10,0.636647379332321,0.7612903225806451,0.7252824858757062,0.8103693181818181,0.2496473906911142
2021-12-11,0.6736720114144654,0.5974212034383954,0.6019760056457304,0.9375443577004968,0.5577464788732394
2021-12-12,0.5307758572274102,0.5068002863278454,0.5585331452750353,0.7624113475177305,0.2953586497890295
2021-12-13,0.814197439670849,0.8583690987124464,0.7427766032417196,0.741318214032601,0.9143258426966292
2021-12-14,0.569914185447459,0.28663330950679056,0.6542253521126761,0.8661473087818696,0.4726507713884993
2021-12-15,0.48041359119971294,0.1735714285714286,0.5925404644616468,0.7409766454352442,0.4145658263305322
2021-12-16,0.624281884326513,0.6538187009279086,0.6666666666666667,0.7248939179632249,0.45174825174825173
2021-12-17,0.6686642754414488,0.8673323823109843,0.6676036542515812,0.8282685512367491,0.31145251396648044
2021-12-18,0.6195374131343839,0.3129009265858874,0.8398876404494382,0.8093220338983051,0.5160390516039052
2021-12-19,0.6573572593296826,0.613960113960114,0.8596491228070176,0.7240649258997882,0.4317548746518106
2021-12-20,0.7762375114624814,0.6441281138790036,0.8267882187938289,0.7870239774330042,0.847009735744089
2021-12-21,0.5369778264644839,0.147226173541963,0.4618079887876664,0.7610993657505285,0.7777777777777778
2021-12-22,0.3766057167094557,0.0788912579957356,0.47478991596638653,0.44788732394366193,0.5048543689320388
2021-12-23,0.2689047183497075,0.0390625,0.10916724982505244,0.6586910626319493,0.26869806094182824
2021-12-24,0.271385497593274,0.04187366926898506,0.20839160839160842,0.5337552742616034,0.30152143845089907
2021-12-25,0.42354566431663554,0.06595744680851068,0.29000698812019565,0.5895994378074491,0.7486187845303867
2021-12-26,0.42647561962072783,0.15662650602409633,0.2150837988826816,0.6376404494382022,0.6965517241379311
2021-12-27,0.3175426717716784,0.14447592067988668,0.2826238660153524,0.5607017543859649,0.28236914600550966
2021-12-28,0.6088935429351188,0.821656050955414,0.7357043235704324,0.5329593267882188,0.3452544704264099
2021-12-29,0.8517093247266697,0.8896746817538896,0.8989547038327526,0.7624386825508058,0.8557692307692308
2021-12-30,0.7199726520778404,0.8127208480565371,0.8008356545961003,0.8438375350140056,0.4224965706447188
2021-12-31,0.8204972960985268,0.8912429378531074,0.9373695198329854,0.7396780965710287,0.7136986301369863
2022-01-01,0.778333342225566,0.7692307692307692,0.7211404728789986,0.8678321678321679,0.7551299589603283
2022-01-02,0.5478638586010892,0.38575458392101547,0.7880472550382209,0.7225716282320056,0.29508196721311475
2022-01-03,0.6347451841869827,0.34883720930232553,0.9298611111111111,0.7227653631284916,0.5375170532060027
2022-01-04,0.6553941393226426,0.5401408450704226,0.9826509368494102,0.829030006978367,0.26975476839237056
2022-01-05,0.8529076922206115,0.7677691766361717,0.9403606102635229,0.8096234309623431,0.8938775510204082
2022-01-06,0.7643151759456359,0.8987341772151899,0.9708939708939709,0.9512195121951219,0.23641304347826086
2022-01-07,0.7727703831978324,0.9374560787069571,0.9522160664819944,0.9178272980501393,0.28358208955223885
2022-01-08,0.8149719446681851,0.8981741573033708,0.9397923875432526,0.9937369519832986,0.4281842818428184
2022-01-09,0.8756715508547804,0.8329824561403509,0.9287690179806363,0.827538247566064,0.9133964817320703
2022-01-10,0.6543790680476248,0.5182328190743338,0.848652384243262,0.8276580958999304,0.422972972972973
2022-01-11,0.6669170848009532,0.2929222144358795,0.705110497237569,0.8666666666666667,0.8029689608636977
2022-01-12,0.5661411933465599,0.062324929971988796,0.5693581780538302,0.8417765440666204,0.7911051212938005
