,score,M066
2017-05-20,0.3048642533936652,0.3048642533936652
2017-05-21,0.29847371396269073,0.29847371396269073
2017-05-22,0.2994350282485876,0.2994350282485876
2017-05-23,0.2970073404856014,0.2970073404856014
2017-05-24,0.2832957110609481,0.2832957110609481
2017-05-25,0.2577552171460801,0.2577552171460801
2017-05-26,0.27621195039458846,0.27621195039458846
2017-05-27,0.2828169014084507,0.2828169014084507
2017-05-28,0.3029279279279279,0.3029279279279279
2017-05-29,0.2875633089476646,0.2875633089476646
2017-05-30,0.2845894263217098,0.2845894263217098
2017-05-31,0.2945474985947162,0.2945474985947162
2017-06-01,0.2837078651685393,0.2837078651685393
2017-06-02,0.27007299270072993,0.27007299270072993
2017-06-03,0.2502805836139169,0.2502805836139169
2017-06-04,0.2372406057206955,0.2372406057206955
2017-06-05,0.24271300448430488,0.24271300448430488
2017-06-06,0.20392156862745103,0.20392156862745103
2017-06-07,0.17133258678611418,0.17133258678611418
2017-06-08,0.20257414661443762,0.20257414661443762
2017-06-09,0.18456375838926176,0.18456375838926176
2017-06-10,0.1861375069871437,0.1861375069871437
2017-06-11,0.17039106145251393,0.17039106145251393
2017-06-12,0.1663874930206588,0.1663874930206588
2017-06-13,0.2204241071428571,0.2204241071428571
2017-06-14,0.21305075292805353,0.21305075292805353
2017-06-15,0.2787068004459309,0.2787068004459309
2017-06-16,0.2818941504178273,0.2818941504178273
2017-06-17,0.27616926503340755,0.27616926503340755
2017-06-18,0.23316638842515303,0.23316638842515303
2017-06-19,0.26974416017797553,0.26974416017797553
2017-06-20,0.2518065591995553,0.2518065591995553
2017-06-21,0.21611111111111114,0.21611111111111114
2017-06-22,0.24375347029428096,0.24375347029428096
2017-06-23,0.23196448390677027,0.23196448390677027
2017-06-24,0.23516361619523019,0.23516361619523019
2017-06-25,0.26718403547671843,0.26718403547671843
2017-06-26,0.2825484764542936,0.2825484764542936
2017-06-27,0.29568106312292364,0.29568106312292364
2017-06-28,0.280022136137244,0.280022136137244
2017-06-29,0.271570796460177,0.271570796460177
2017-06-30,0.2808181315644003,0.2808181315644003
2017-07-01,0.2950276243093922,0.2950276243093922
2017-07-02,0.29928216454997236,0.29928216454997236
2017-07-03,0.2853200883002207,0.2853200883002207
2017-07-04,0.2824048538334253,0.2824048538334253
2017-07-05,0.27067254685777287,0.27067254685777287
2017-07-06,0.26942148760330575,0.26942148760330575
2017-07-07,0.2742290748898678,0.2742290748898678
2017-07-08,0.2944413869014859,0.2944413869014859
2017-07-09,0.2865786578657866,0.2865786578657866
2017-07-10,0.29466739967014843,0.29466739967014843
2017-07-11,0.3142857142857143,0.3142857142857143
2017-07-12,0.314662273476112,0.314662273476112
2017-07-13,0.31009879253567507,0.31009879253567507
2017-07-14,0.31267142073505216,0.31267142073505216
2017-07-15,0.32565789473684215,0.32565789473684215
2017-07-16,0.33479452054794523,0.33479452054794523
2017-07-17,0.34392113910186195,0.34392113910186195
2017-07-18,0.3262178434592228,0.3262178434592228
2017-07-19,0.3194748358862144,0.3194748358862144
2017-07-20,0.32367413887370144,0.32367413887370144
2017-07-21,0.23497267759562845,0.23497267759562845
2017-07-22,0.275805570726379,0.275805570726379
2017-07-23,0.23744541484716153,0.23744541484716153
2017-07-24,0.2547735951991271,0.2547735951991271
2017-07-25,0.2579062159214831,0.2579062159214831
2017-07-26,0.3008174386920981,0.3008174386920981
2017-07-27,0.303921568627451,0.303921568627451
2017-07-28,0.2841589548176374,0.2841589548176374
2017-07-29,0.2524483133841132,0.2524483133841132
2017-07-30,0.279499728113105,0.279499728113105
2017-07-31,0.2673913043478261,0.2673913043478261
2017-08-01,0.24117327539380773,0.24117327539380773
2017-08-02,0.2779587404994571,0.2779587404994571
2017-08-03,0.28811720021703746,0.28811720021703746
2017-08-04,0.2640997830802603,0.2640997830802603
2017-08-05,0.2449864498644987,0.2449864498644987
2017-08-06,0.16901408450704225,0.16901408450704225
2017-08-07,0.17162966973470495,0.17162966973470495
2017-08-08,0.15476190476190477,0.15476190476190477
2017-08-09,0.15413737155219043,0.15413737155219043
2017-08-10,0.1627027027027027,0.1627027027027027
2017-08-11,0.15451107509454354,0.15451107509454354
2017-08-12,0.13930885529157666,0.13930885529157666
2017-08-13,0.13383702104695094,0.13383702104695094
2017-08-14,0.12837108953613807,0.12837108953613807
2017-08-15,0.12129380053908356,0.12129380053908356
2017-08-16,0.12607758620689657,0.12607758620689657
2017-08-17,0.12008616047388265,0.12008616047388265
2017-08-18,0.12217438105489775,0.12217438105489775
2017-08-19,0.13071543840774613,0.13071543840774613
2017-08-20,0.1279569892473118,0.1279569892473118
2017-08-21,0.13218699623858143,0.13218699623858143
2017-08-22,0.13587540279269605,0.13587540279269605
2017-08-23,0.13419216317767046,0.13419216317767046
2017-08-24,0.13143776824034337,0.13143776824034337
2017-08-25,0.1243967828418231,0.1243967828418231
2017-08-26,0.12433011789924975,0.12433011789924975
2017-08-27,0.12533476164970536,0.12533476164970536
2017-08-28,0.12580299785867233,0.12580299785867233
2017-08-29,0.12466559657570897,0.12466559657570897
2017-08-30,0.11764705882352944,0.11764705882352944
2017-08-31,0.11865312667022987,0.11865312667022987
2017-09-01,0.11378205128205132,0.11378205128205132
2017-09-02,0.11265349706353445,0.11265349706353445
