fid,name,system,sign,price,horizon,window,slice,n,n_eff,ic,lo,hi,signed_ic,sign_ok,ci_excludes_0,status
O011,Realized cap 90d change,cycle,1,cm,180,dev,full,4279,23.8,0.1545,-0.0981,0.3877,0.1545,True,False,ok
O011,Realized cap 90d change,cycle,1,cm,180,dev,ex_2020-03_2022-01,3397,18.9,0.2131,-0.127,0.4989,0.2131,True,False,ok
O011,Realized cap 90d change,cycle,1,cm,180,dev,ex_2017,3734,20.7,0.0914,-0.1921,0.3771,0.0914,True,False,ok
O011,Realized cap 90d change,cycle,1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
O011,Realized cap 90d change,cycle,1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
O011,Realized cap 90d change,cycle,1,cm,365,dev,full,4094,11.2,-0.0292,-0.2763,0.195,-0.0292,False,False,ok
O011,Realized cap 90d change,cycle,1,cm,365,dev,ex_2020-03_2022-01,3058,8.4,0.0513,-0.3229,0.3642,0.0513,True,False,ok
O011,Realized cap 90d change,cycle,1,cm,365,dev,ex_2017,3364,9.2,-0.0515,-0.3378,0.1945,-0.0515,False,False,ok
O011,Realized cap 90d change,cycle,1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
O011,Realized cap 90d change,cycle,1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
M065,Four-year return,cycle,-1,cm,1,dev,full,3087,3087.0,-0.0024,-0.0359,0.0318,0.0024,True,False,ok
M065,Four-year return,cycle,-1,cm,1,dev,ex_2020-03_2022-01,2384,2384.0,-0.0014,-0.0384,0.033,0.0014,True,False,ok
M065,Four-year return,cycle,-1,cm,1,dev,ex_2017,2721,2721.0,0.008,-0.0238,0.0372,-0.008,False,False,ok
M065,Four-year return,cycle,-1,cm,1,dev,since_2022,364,364.0,-0.0227,-0.1036,0.0456,0.0227,True,False,ok
M065,Four-year return,cycle,-1,cm,1,holdout,full,1329,1329.0,0.0179,-0.0225,0.0509,-0.0179,False,False,ok
M065,Four-year return,cycle,-1,cm,7,dev,full,3081,440.1,-0.0126,-0.0876,0.0506,0.0126,True,False,ok
M065,Four-year return,cycle,-1,cm,7,dev,ex_2020-03_2022-01,2372,338.9,-0.0209,-0.1065,0.066,0.0209,True,False,ok
M065,Four-year return,cycle,-1,cm,7,dev,ex_2017,2709,387.0,0.0095,-0.0624,0.0863,-0.0095,False,False,ok
M065,Four-year return,cycle,-1,cm,7,dev,since_2022,358,51.1,-0.1785,-0.3272,-0.0214,0.1785,True,True,ok
M065,Four-year return,cycle,-1,cm,7,holdout,full,1323,189.0,0.0359,-0.0923,0.1262,-0.0359,False,False,ok
M065,Four-year return,cycle,-1,cm,30,dev,full,3058,101.9,0.0092,-0.1057,0.1221,-0.0092,False,False,ok
M065,Four-year return,cycle,-1,cm,30,dev,ex_2020-03_2022-01,2326,77.5,0.001,-0.1385,0.1586,-0.001,False,False,ok
M065,Four-year return,cycle,-1,cm,30,dev,ex_2017,2663,88.8,0.0276,-0.1068,0.1699,-0.0276,False,False,ok
M065,Four-year return,cycle,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
M065,Four-year return,cycle,-1,cm,30,holdout,full,1300,43.3,0.1137,-0.098,0.3077,-0.1137,False,False,ok
M065,Four-year return,cycle,-1,cm,90,dev,full,2998,33.3,0.0849,-0.1514,0.3046,-0.0849,False,False,ok
M065,Four-year return,cycle,-1,cm,90,dev,ex_2020-03_2022-01,2206,24.5,,,,,,,insufficient
M065,Four-year return,cycle,-1,cm,90,dev,ex_2017,2543,28.3,,,,,,,insufficient
M065,Four-year return,cycle,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
M065,Four-year return,cycle,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
M065,Four-year return,cycle,-1,cm,180,dev,full,2908,16.2,0.1221,-0.2235,0.4738,-0.1221,False,False,ok
M065,Four-year return,cycle,-1,cm,180,dev,ex_2020-03_2022-01,2026,11.3,0.0614,-0.4025,0.4329,-0.0614,False,False,ok
M065,Four-year return,cycle,-1,cm,180,dev,ex_2017,2363,13.1,0.1228,-0.2804,0.4632,-0.1228,False,False,ok
M065,Four-year return,cycle,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
M065,Four-year return,cycle,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
M065,Four-year return,cycle,-1,cm,365,dev,full,2723,7.5,,,,,,,insufficient
M065,Four-year return,cycle,-1,cm,365,dev,ex_2020-03_2022-01,1687,4.6,,,,,,,insufficient
M065,Four-year return,cycle,-1,cm,365,dev,ex_2017,1993,5.5,,,,,,,insufficient
M065,Four-year return,cycle,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
M065,Four-year return,cycle,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
M066,Log power-law residual,cycle,-1,cm,1,dev,full,3819,3819.0,0.0091,-0.0235,0.0381,-0.0091,False,False,ok
M066,Log power-law residual,cycle,-1,cm,1,dev,ex_2020-03_2022-01,3116,3116.0,0.0177,-0.0232,0.0614,-0.0177,False,False,ok
M066,Log power-law residual,cycle,-1,cm,1,dev,ex_2017,3453,3453.0,-0.0003,-0.035,0.0307,0.0003,True,False,ok
M066,Log power-law residual,cycle,-1,cm,1,dev,since_2022,364,364.0,-0.0588,-0.1326,0.0048,0.0588,True,False,ok
M066,Log power-law residual,cycle,-1,cm,1,holdout,full,1329,1329.0,-0.0242,-0.06,0.0085,0.0242,True,False,ok
M066,Log power-law residual,cycle,-1,cm,7,dev,full,3813,544.7,-0.0343,-0.1108,0.0376,0.0343,True,False,ok
M066,Log power-law residual,cycle,-1,cm,7,dev,ex_2020-03_2022-01,3104,443.4,-0.0264,-0.1157,0.0582,0.0264,True,False,ok
M066,Log power-law residual,cycle,-1,cm,7,dev,ex_2017,3441,491.6,-0.0654,-0.1496,0.0107,0.0654,True,False,ok
M066,Log power-law residual,cycle,-1,cm,7,dev,since_2022,358,51.1,-0.1622,-0.3202,-0.0232,0.1622,True,True,ok
M066,Log power-law residual,cycle,-1,cm,7,holdout,full,1323,189.0,-0.0883,-0.1905,-0.0053,0.0883,True,True,ok
M066,Log power-law residual,cycle,-1,cm,30,dev,full,3790,126.3,-0.1198,-0.2371,-0.014,0.1198,True,True,ok
M066,Log power-law residual,cycle,-1,cm,30,dev,ex_2020-03_2022-01,3058,101.9,-0.1125,-0.2552,0.0174,0.1125,True,False,ok
M066,Log power-law residual,cycle,-1,cm,30,dev,ex_2017,3395,113.2,-0.1634,-0.2834,-0.0419,0.1634,True,True,ok
M066,Log power-law residual,cycle,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
