,score,O102,O103,O080,M115,M106,M107,M109,M110,M105,M015,N003,O046,O049,O113,O115,M096,M088,O066,N004
1961-11-10,,,,,,,,,,0.8428351309707242,,,,,,,,,,
1961-11-11,,,,,,,,,,0.8415384615384616,,,,,,,,,,
1961-11-12,,,,,,,,,,0.8402457757296466,,,,,,,,,,
1961-11-13,,,,,,,,,,0.838957055214724,,,,,,,,,,
1961-11-14,,,,,,,,,,0.8376722817764165,,,,,,,,,,
1961-11-15,,,,,,,,,,0.8363914373088684,,,,,,,,,,
1961-11-16,,,,,,,,,,0.8351145038167939,,,,,,,,,,
1961-11-17,,,,,,,,,,0.8338414634146342,,,,,,,,,,
1961-11-18,,,,,,,,,,0.832572298325723,,,,,,,,,,
1961-11-19,,,,,,,,,,0.831306990881459,,,,,,,,,,
1961-11-20,,,,,,,,,,0.8300455235204856,,,,,,,,,,
1961-11-21,,,,,,,,,,0.8287878787878787,,,,,,,,,,
1961-11-22,,,,,,,,,,0.8275340393343419,,,,,,,,,,
1961-11-23,,,,,,,,,,0.8262839879154078,,,,,,,,,,
1961-11-24,,,,,,,,,,0.8250377073906485,,,,,,,,,,
1961-11-25,,,,,,,,,,0.8237951807228916,,,,,,,,,,
1961-11-26,,,,,,,,,,0.8225563909774436,,,,,,,,,,
1961-11-27,,,,,,,,,,0.8213213213213213,,,,,,,,,,
1961-11-28,,,,,,,,,,0.8200899550224887,,,,,,,,,,
1961-11-29,,,,,,,,,,0.8188622754491018,,,,,,,,,,
1961-11-30,,,,,,,,,,0.8176382660687593,,,,,,,,,,
1961-12-01,,,,,,,,,,0.9552238805970149,,,,,,,,,,
1961-12-02,,,,,,,,,,0.9538002980625931,,,,,,,,,,
1961-12-03,,,,,,,,,,0.9523809523809523,,,,,,,,,,
1961-12-04,,,,,,,,,,0.950965824665676,,,,,,,,,,
1961-12-05,,,,,,,,,,0.9495548961424333,,,,,,,,,,
1961-12-06,,,,,,,,,,0.9481481481481482,,,,,,,,,,
1961-12-07,,,,,,,,,,0.9467455621301775,,,,,,,,,,
1961-12-08,,,,,,,,,,0.9453471196454948,,,,,,,,,,
1961-12-09,,,,,,,,,,0.943952802359882,,,,,,,,,,
1961-12-10,,,,,,,,,,0.9425625920471281,,,,,,,,,,
1961-12-11,,,,,,,,,,0.9411764705882353,,,,,,,,,,
1961-12-12,,,,,,,,,,0.9397944199706314,,,,,,,,,,
1961-12-13,,,,,,,,,,0.9384164222873901,,,,,,,,,,
1961-12-14,,,,,,,,,,0.9370424597364568,,,,,,,,,,
1961-12-15,,,,,,,,,,0.935672514619883,,,,,,,,,,
1961-12-16,,,,,,,,,,0.9343065693430657,,,,,,,,,,
1961-12-17,,,,,,,,,,0.9329446064139941,,,,,,,,,,
1961-12-18,,,,,,,,,,0.9315866084425036,,,,,,,,,,
1961-12-19,,,,,,,,,,0.9302325581395349,,,,,,,,,,
1961-12-20,,,,,,,,,,0.9288824383164006,,,,,,,,,,
1961-12-21,,,,,,,,,,0.927536231884058,,,,,,,,,,
1961-12-22,,,,,,,,,,0.9261939218523878,,,,,,,,,,
1961-12-23,,,,,,,,,,0.9248554913294798,,,,,,,,,,
1961-12-24,,,,,,,,,,0.9235209235209235,,,,,,,,,,
1961-12-25,,,,,,,,,,0.9221902017291066,,,,,,,,,,
1961-12-26,,,,,,,,,,0.920863309352518,,,,,,,,,,
1961-12-27,,,,,,,,,,0.9195402298850575,,,,,,,,,,
1961-12-28,,,,,,,,,,0.9182209469153515,,,,,,,,,,
1961-12-29,,,,,,,,,,0.9169054441260746,,,,,,,,,,
1961-12-30,,,,,,,,,,0.9155937052932761,,,,,,,,,,
1961-12-31,,,,,,,,,,1.0,,,,,,,,,,
1962-01-01,,,,,,,,,,0.9985734664764622,,,,,,,,,,
1962-01-02,,,,,,,,,,0.9971509971509972,,,,,,,,,,
1962-01-03,,,,,,,,,,0.9957325746799431,,,,,,,,,,
1962-01-04,,,,,,,,,,0.9943181818181818,,,,,,,,,,
1962-01-05,,,,,,,,,,0.9929078014184397,,,,,,,,,,
1962-01-06,,,,,,,,,,0.9915014164305949,,,,,,,,,,
1962-01-07,,,,,,,,,,0.9900990099009901,,,,,,,,,,
1962-01-08,,,,,,,,,,0.9887005649717514,,,,,,,,,,
1962-01-09,,,,,,,,,,0.9873060648801129,,,,,,,,,,
1962-01-10,,,,,,,,,,0.9859154929577465,,,,,,,,,,
1962-01-11,,,,,,,,,,0.9845288326300985,,,,,,,,,,
1962-01-12,,,,,,,,,,0.9831460674157303,,,,,,,,,,
1962-01-13,,,,,,,,,,0.9817671809256662,,,,,,,,,,
1962-01-14,,,,,,,,,,0.9803921568627451,,,,,,,,,,
1962-01-15,,,,,,,,,,0.9790209790209791,,,,,,,,,,
1962-01-16,,,,,,,,,,0.9776536312849162,,,,,,,,,,
1962-01-17,,,,,,,,,,0.9762900976290098,,,,,,,,,,
1962-01-18,,,,,,,,,,0.9749303621169917,,,,,,,,,,
1962-01-19,,,,,,,,,,0.9735744089012517,,,,,,,,,,
1962-01-20,,,,,,,,,,0.9722222222222222,,,,,,,,,,
1962-01-21,,,,,,,,,,0.970873786407767,,,,,,,,,,
1962-01-22,,,,,,,,,,0.9695290858725761,,,,,,,,,,
1962-01-23,,,,,,,,,,0.9681881051175657,,,,,,,,,,
