,score,M096t,N005,M018,M068,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112
2025-05-24,0.48496988007583264,0.2547770700636943,0.5062433107384945,0.4373229461756374,0.8949238578680203,0.535132382892057,0.3740504405955637,0.12274578243164636,0.44405797101449274,0.3013698630136986,0.963806187974314,0.8514365802382621,0.1360052562417871,0.17161716171617158,0.31385642737896496,0.5155635062611807,0.9366093366093367
2025-05-25,0.4603936012713215,0.14531835205992505,0.5106990014265336,0.33699115044247785,0.6712328767123288,0.5480916030534351,0.3812272174969623,0.15697674418604646,0.391657010428737,0.4337274424393279,0.9445740956826137,0.7976190476190477,0.16611950098489822,0.183377308707124,0.317663421418637,0.4424177396280401,0.9386051080550099
2025-05-26,0.4609387748292042,0.16622987645076748,0.7058823529411764,0.3174097664543525,0.6627789046653144,0.5188199389623601,0.4081384755542059,0.13073794305636255,0.3398957730167921,0.41480099502487566,0.9889212827988338,0.7781665500349895,0.12992125984251968,0.22083058668424527,0.2978309232480534,0.33392920986771546,0.960726558664703
2025-05-27,0.5071980135801942,0.14558383233532934,0.8428367783321454,0.357976653696498,0.6811961479979727,0.5170310116929334,0.4171220400728597,0.36004645760743326,0.29918981481481477,0.44375388440024865,0.9801864801864801,0.8132867132867133,0.1121311475409836,0.5217391304347826,0.31359466221851545,0.359542530378842,0.9499509322865555
2025-05-28,0.5430135631449802,0.20650953984287312,0.6615603847524048,0.45862800565770867,0.8515704154002026,0.5376016260162602,0.4440060698027314,0.5362739408009286,0.37362637362637363,0.3962732919254658,0.7693651718112988,0.7756813417190775,0.09960681520314547,0.7472021066491112,0.45136186770428016,0.44515898535191145,0.9337910740559098
2025-05-29,0.572848365225463,0.1458489154824233,0.8358262108262109,0.6928243195475433,0.718987341772152,0.5759268664296597,0.4641990291262136,0.7018561484918793,0.3635838150289017,0.4419615145872129,0.6845168800931316,0.827513966480447,0.08906352324819908,0.775,0.441511530980828,0.5010714285714286,0.9058823529411765
2025-05-30,0.590560593628932,0.3226168224299065,0.9312922748309007,0.8494699646643109,0.5192307692307692,0.6116751269035533,0.5022747952684259,0.6539130434782608,0.4072790294627383,0.47146401985111663,0.6742292030250145,0.8555478018143754,0.08049738219895287,0.7488494411571335,0.4444444444444444,0.5055337379507319,0.8706516413522782
2025-05-31,0.59190927071109,0.45627802690582964,0.9252669039145908,0.7884139879901095,0.6828528072837633,0.5941146626078133,0.4996967859308672,0.7265353418308227,0.48614318706697457,0.46869187848729077,0.6831395348837209,0.8535564853556485,0.11118378024852844,0.5742444152431012,0.3985004165509581,0.4129193433261956,0.8090107737512243
2025-06-01,0.586438965954516,0.35450130743369446,0.8790466026325151,0.6846751412429379,0.8746208291203236,0.6445233265720081,0.49105789633222185,0.8280254777070064,0.46162723600692446,0.29244114002478316,0.7100522951772226,0.837630662020906,0.09934640522875816,0.7386736703873933,0.3906163242642976,0.3585444166963967,0.7376407244248654
2025-06-02,0.550781146054574,0.27893950709484694,0.8175675675675675,0.7313801623720437,0.6195048004042445,0.7126203750633553,0.4760606060606061,0.8883101851851852,0.4798154555940023,0.3195046439628483,0.7578397212543554,0.8238161559888579,0.0705421293272371,0.7624671916010499,0.3952262003885651,0.3359486447931527,0.3429549902152642
2025-06-03,0.5413775816751817,0.2792086599477417,0.7131176679701386,0.7886379675370501,0.6712121212121211,0.7163120567375887,0.47864283550439257,0.7958357432041643,0.49798270893371754,0.26547029702970293,0.857225769007545,0.7800974251913709,0.0685378590078329,0.7108196721311475,0.365149833518313,0.3803921568627451,0.293398533007335
2025-06-04,0.5552179425406365,0.2988805970149254,0.6289978678038379,0.8649029982363315,0.8243311458859162,0.7407594936708861,0.46941247728649305,0.8595375722543352,0.4873271889400922,0.24675324675324672,0.781322505800464,0.7566063977746871,0.060013046314416174,0.6926605504587156,0.44660194174757284,0.4379900213827512,0.28739002932551316
2025-06-05,0.5524064057347915,0.33942558746736295,0.8820603907637655,0.9478138222849083,0.7658930373360242,0.7596153846153846,0.46987587042082957,0.7596764875794338,0.5325273459988487,0.21013597033374531,0.5350724637681159,0.7665045170257123,0.06779661016949153,0.5926653569089718,0.5049916805324459,0.4763092269326683,0.2281387396189546
2025-06-06,0.5324711385570584,0.5182699478001491,0.8036221590909091,0.671483961931618,0.7029752899646999,0.8174001011633789,0.49848668280871666,0.4041570438799076,0.4953970080552359,0.19147621988882024,0.9501738122827347,0.6263888888888889,0.04820846905537459,0.699607329842932,0.5505960632104242,0.39529914529914534,0.14599609375
2025-06-07,0.5254289918617276,0.4193067461796497,0.7593184238551651,0.551092318534179,0.6310483870967742,0.8766430738119313,0.5125567322239032,0.574725908828621,0.4347326049453709,0.16728395061728396,0.9704690214244355,0.6911866759195003,0.057942708333333336,0.7468933943754088,0.5171840354767184,0.3456746173015308,0.150805270863836
2025-06-08,0.5259400856737262,0.29880774962742174,0.7086586231369766,0.5410355759070096,0.8498740554156171,0.8756947953511874,0.543859649122807,0.5715109573241062,0.4695402298850575,0.14867365823565704,0.9751157407407407,0.7011095700416089,0.06506180871828236,0.6607843137254902,0.4197838736492103,0.32455516014234875,0.26097560975609757
2025-06-09,0.4532114604791978,0.29906890130353814,0.22561191912025536,0.04436619718309864,0.4879154078549849,0.8833333333333333,0.5612337465981252,0.27665706051873196,0.4859276278001149,0.10850801479654748,0.9988432620011567,0.7449757449757449,0.06631989596879063,0.44872632266492485,0.3656509695290859,0.4112415510494486,0.8430034129692833
2025-06-10,0.45990965558641295,0.20625465376023833,0.07446808510638303,0.022175290390707536,0.5319577252138903,0.8652195860676426,0.56590084643289,0.41359447004608296,0.3800229621125144,0.11768330252618608,0.9976878612716763,0.878808864265928,0.0649772579597141,0.44516971279373363,0.4062586541124342,0.5184921763869133,0.8698830409356725
2025-06-11,0.5082843088413868,0.1894305917379978,0.32896136121942576,0.2519352568613652,0.6207243460764588,0.822401614530777,0.539135690540949,0.4490500863557858,0.43029259896729777,0.14778325123152714,0.9867128827267475,0.8650519031141869,0.05064935064935065,0.5251141552511416,0.3995016611295681,0.6612157838606469,0.8645884072089625
2025-06-12,0.5914021694650637,0.20684523809523814,0.7356484762579731,0.5378121702427014,0.8994469582704877,0.8164397377710539,0.516012084592145,0.7324510932105869,0.4942660550458715,0.12246153846153851,0.8406466512702079,0.8464730290456431,0.04412719013627515,0.6890482398956975,0.37918627179629116,0.7057569296375267,0.8958130477117818
2025-06-13,0.5575129276690278,0.312755671253254,0.7155508324477506,0.501054852320675,0.5542713567839196,0.7883064516129032,0.4645122319540924,0.8573893041978149,0.5679083094555875,0.10086100861008607,0.8845931909982689,0.8127159640635798,0.05058365758754864,0.41107491856677525,0.34311012728278917,0.6294849023090586,0.9260340632603407
2025-06-14,0.5869253693809944,0.28996282527881045,0.9440509915014165,0.5546572934973638,0.8151682571572074,0.7556675062972292,0.46105072463768115,0.8327586206896551,0.5830469644902634,0.08789182544560536,0.8748558246828143,0.8149171270718232,0.0524951393389501,0.49869791666666663,0.3914246196403873,0.5110085227272727,0.9231517509727627
2025-06-15,0.5766995275517992,0.32478632478632474,0.9338053097345133,0.5439212930428672,0.873995983935743,0.7593152064451159,0.4980380319951705,0.7909247558874211,0.5901545506582713,0.1253071253071253,0.8737752161383285,0.8385093167701864,0.06476683937823834,0.4333116460637606,0.3525995575221239,0.4398296059637913,0.7841516771998056
2025-06-16,0.5632925753404298,0.31315007429420505,0.8280254777070064,0.4299262381454162,0.6206723532363272,0.7443381982888777,0.4909474954737477,0.899540757749713,0.5795194508009154,0.1645181092694905,0.9919354838709677,0.8248275862068966,0.06019417475728155,0.488296488946684,0.47691457008570637,0.46770759403832507,0.6321671525753159
2025-06-17,0.5353761197492533,0.23950984032677314,0.7923593915811815,0.6393960674157304,0.6168505516549649,0.7872233400402414,0.5085972850678733,0.891566265060241,0.6014865637507147,0.1613496932515337,0.6954519286125505,0.8221915920055134,0.057567917205692105,0.4899285250162443,0.5008291873963516,0.504788932245477,0.2569208353569694
2025-06-18,0.5711197337977081,0.4216778025241277,0.7931400282885431,0.6072306072306073,0.8050125313283207,0.8220211161387632,0.5838359469240049,0.8509174311926606,0.6325714285714286,0.16922133660331085,0.7727272727272727,0.8243801652892562,0.04201680672268908,0.5298701298701298,0.5482177397071014,0.5180851063829788,0.21699029126213587
2025-06-19,0.5366304405781321,0.34174397031539894,0.7624602332979852,0.6736842105263158,0.7610220440881763,0.8361809045226131,0.6843533313234851,0.6613180515759312,0.6316390633923472,0.17585784313725494,0.7717078780908568,0.8086717136958018,0.04844961240310078,0.3822193380921479,0.34917127071823206,0.5384615384615384,0.15914604560892776
2025-06-20,0.5506671496574599,0.38835311572700293,0.8424028268551237,0.9340582251841459,0.7836755132699049,0.8056253139126067,0.7121760096443641,0.6191294387170676,0.5993150684931507,0.16411512553582364,0.6247126436781609,0.8466299862448419,0.051646223369916075,0.4228274967574579,0.32504832919083126,0.5503189227498229,0.14064015518913675
2025-06-21,0.5634097040866324,0.47571375602521315,0.9247615683504062,0.9193548387096774,0.585085085085085,0.7901606425702812,0.7553479963844532,0.7361190612478534,0.6041072447233314,0.171358629130967,0.6588167719701321,0.8164948453608247,0.054838709677419356,0.41866493843162667,0.4748757592490337,0.546935883811548,0.08191953465826463
2025-06-22,0.5698663937463878,0.558932542624166,0.8912429378531074,0.8247458815282159,0.8974487243621811,0.7591570496738584,0.7370481927710844,0.5463386727688787,0.6482326111744584,0.20672782874617734,0.669345579793341,0.8166208791208791,0.06382978723404255,0.46632124352331605,0.46204802649737786,0.4932719546742209,0.07655038759689925
2025-06-23,0.5316024289402914,0.5027788069655428,0.585951288386869,0.4744218640504555,0.6074999999999999,0.7793380140421264,0.7645287563986751,0.8484848484848485,0.576068376068376,0.24022004889975546,0.9288582903040734,0.8057652711050103,0.047036082474226804,0.596116504854369,0.23565121412803533,0.44318584070796463,0.06973365617433414
2025-06-24,0.5111198565552728,0.2674074074074074,0.45306986591390264,0.4164623467600701,0.6841579210394803,0.7969924812030076,0.7609873570138471,0.6274285714285714,0.6873576309794989,0.23701893708002442,0.9736238532110092,0.7647462277091907,0.03670315518351577,0.6610608020698576,0.2035862068965517,0.524062278839349,0.08325266214908034
2025-06-25,0.4759379528945161,0.25546094039244727,0.182363315696649,0.20343137254901966,0.8741258741258742,0.8181362725450902,0.734276256394824,0.5385494003426614,0.6550939100739898,0.1648351648351648,0.9977077363896848,0.750514050719671,0.032818532818532815,0.5345830639948287,0.20683949255377826,0.5787053413512557,0.08756652152878563
2025-06-26,0.47602484467507783,0.14470762398223536,0.13963328631875882,0.2520126006300315,0.47728407388916627,0.8167250876314471,0.7214199759326113,0.5525114155251142,0.6302616609783845,0.19097010372178158,0.9965635738831615,0.7883561643835616,0.031511254019292605,0.6059431524547804,0.5235732009925558,0.6414427157001414,0.10348162475822054
2025-06-27,0.4895766959690691,0.268220495745468,0.08741628480789565,0.23967809657102868,0.5184630738522954,0.8338338338338338,0.7130827067669173,0.7022247575584712,0.5986355884025014,0.17012195121951224,0.9954207212364052,0.75564681724846,0.02892030848329049,0.6617172369270496,0.538037486218302,0.5797101449275363,0.1420976317061382
