date,sum_tickers,total_column,within_tolerance
2026-09-02,101.1,101.1,True
2026-09-03,730.8,730.8,True
2026-09-04,174.60000000000002,174.6,True
2026-09-08,-46.6,-46.6,True
2026-09-09,-120.2,-120.2,True
2026-09-10,-282.7,-282.7,True
2026-09-11,-13.2,-13.2,True
2026-09-14,159.9,159.9,True
2026-09-15,-450.4,-450.4,True
2026-09-16,-295.9,-295.9,True
2026-09-17,159.5,159.5,True
2026-09-18,433.0,433.0,True
2026-09-21,617.6,617.6,True
