fid,name,system,sign,price,horizon,window,slice,n,n_eff,ic,lo,hi,signed_ic,sign_ok,ci_excludes_0,status
O072,Puell Multiple,cycle,-1,cm,1,dev,ex_2017,3818,3818.0,0.0357,0.0029,0.0678,-0.0357,False,True,ok
O072,Puell Multiple,cycle,-1,cm,1,dev,since_2022,364,364.0,-0.074,-0.1529,0.0047,0.074,True,False,ok
O072,Puell Multiple,cycle,-1,cm,1,holdout,full,1329,1329.0,0.0192,-0.0308,0.0583,-0.0192,False,False,ok
O072,Puell Multiple,cycle,-1,cm,7,dev,full,4178,596.9,0.059,-0.0121,0.1288,-0.059,False,False,ok
O072,Puell Multiple,cycle,-1,cm,7,dev,ex_2020-03_2022-01,3469,495.6,0.0714,-0.0115,0.1477,-0.0714,False,False,ok
O072,Puell Multiple,cycle,-1,cm,7,dev,ex_2017,3806,543.7,0.0269,-0.0527,0.1014,-0.0269,False,False,ok
O072,Puell Multiple,cycle,-1,cm,7,dev,since_2022,358,51.1,-0.2313,-0.3749,-0.066,0.2313,True,True,ok
O072,Puell Multiple,cycle,-1,cm,7,holdout,full,1323,189.0,0.0231,-0.0688,0.1219,-0.0231,False,False,ok
O072,Puell Multiple,cycle,-1,cm,30,dev,full,4155,138.5,0.0404,-0.0681,0.1514,-0.0404,False,False,ok
O072,Puell Multiple,cycle,-1,cm,30,dev,ex_2020-03_2022-01,3423,114.1,0.0629,-0.0579,0.1853,-0.0629,False,False,ok
O072,Puell Multiple,cycle,-1,cm,30,dev,ex_2017,3760,125.3,-0.0131,-0.1246,0.1068,0.0131,True,False,ok
O072,Puell Multiple,cycle,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,30,holdout,full,1300,43.3,-0.034,-0.2236,0.1151,0.034,True,False,ok
O072,Puell Multiple,cycle,-1,cm,90,dev,full,4095,45.5,-0.0107,-0.2338,0.1827,0.0107,True,False,ok
